Latitude,Longitude,Time,Id
32.77342,-96.79664000000001,252,route 1,Along route
32.77355,-96.79648,253,route 1,Along route
32.773860000000006,-96.79608,254,route 1,Along route
32.773970000000006,-96.79615000000001,255,route 1,Along route
32.774550000000005,-96.79677000000001,256,route 1,Along route
32.77543,-96.79778,257,route 1,Along route
32.77553,-96.79786000000001,258,route 1,Along route
32.775670000000005,-96.79795000000001,259,route 1,Along route
32.775780000000005,-96.79745000000001,260,route 1,Along route
32.775940000000006,-96.79675,261,route 1,DALLAS
